Title: Ionic Catalysts
Title: Import #53

#########
#  ## $.#
# $ #.#*#
#.#   ###
#..# $  #
# $$ $  #
#    #.@#
##   ####
 #####
Title: Import #54

    #####
#####@**#
#   #$#*#
#.#   ###
#..#    #
#   $$. #
#    $  #
#     ###
#######
Title: Import #56

    #####
#####+$.#
#   #$#*#
#*#.  ###
#. #*   #
# $$ $. #
#    #  #
##   ####
 #####
Title: Import #57

    #####
#####+$.#
#   #$###
#.#   .##
#..#. $ #
# $$ $  #
# $ $#. #
##   ####
 #####
Title: Import #58

### #####
#+###*  #
#$  # #*#
#.#   ###
#..#*$  #
# $$ $  #
#    #. #
##   ####
 #####
Title: Import #59

#########
#  ##* *#
#     #*#
#.#   ###
#..#.$  #
#  $ $* #
# $  #@##
###  ###
  ####
Title: Import #60

    ####
#####.*#
#   $ ##
#.# * ###
#..#  $ #
#  $ $$ #
#    #.@#
##   ####
 #####
Title: Import #61

#########
#  ##.$.#
# $ # #*#
#.#@$ ###
#..#.   #
#   $$$ #
#    # ##
##     #
 #######
Title: Import #63

    ####
#####+*#
#.  $$##
#.#   ###
#..# $  #
#    $  #
#    $  #
#     ###
#######
Title: Import #64

#########
#  ##. *#
#  $ $ .#
#.#   ###
#..#*$  #
# $  $* #
#    #@##
########
Title: Import #65

#######
#     #
#.# $ ###
#..# $  #
#   $$. #
#  @ ####
###  #
  ####
Title: Import #66

    #####
#####.* #
#   $ #*#
#.#   ###
#. #.$  #
# .  $$ #
# $$ #+##
###  ###
  ####
Title: Import #67

    ####
#####+*#
#    $##
#.    ###
#..#$$  #
#    $. #
#     $ #
#     ###
#######
Title: Import #68

    #####
#####.$.#
# $   ###
#.#   ###
#.*#.$$ #
#     . #
#.$$$####
###  @#
  #####
Title: Import #69

#########
#  ##@**#
#    $#*#
#.  $ ###
#..#.$  #
#  $  . #
# $  ####
###  #
  ####
Title: Import #70

    #####
#####.$.#
# $   ###
#.#   ###
#.*#.$$ #
#     . #
#.$$$####
### @#
  ####
Title: Import #71

#########
#  ##*  #
#     #*#
#.#   ###
#..#.$  #
#  $ $$ #
# $  #+##
###  ###
  ####
Title: Import #72

    #####
#####.$.#
#     ###
#.#   ###
# .#.$$ #
#*$   . #
#. $$$###
###  @#
  #####
Title: Import #73

#######
#.*##.#
#     #
#.# $$###
#..#. $ #
#  $ $$@#
# $  #.##
###  ###
  ####
Title: Import #74

    ####
#####.*#
# $   ##
#.# $ ###
#.*#+$$ #
#   $ . #
#.$  ####
###  #
  ####
Title: Import #75

    #####
#####  *#
#     ###
#.#.$$###
#..#  $ #
#     . #
#.$$$####
###  @#
  #####
Title: Import #76

    ###
#####.#
# $   #
#.#*$ ###
#..# $$ #
#   @ . #
#.$$ ####
###  #
  ####
Title: Import #77

    #####
#####. @#
#   #$#*#
#.#   ###
#..#* $ #
#  $ $  #
#    $. #
##    ###
 ######
Title: Import #78

#########
#  ##  *#
#  $  *.#
#.#   ###
#..#*$  #
# $  $* #
#    #@##
########
Title: Import #79

    ####
#####+*#
#   $$##
#.# $ ###
#..#$   #
#    $. #
#       #
#       #
#########
Title: Import #80

#########
#.*##.  #
#   $$#@#
#.# $ ###
#. #.   #
#$  $   #
#  $ #.##
###  ###
  ####
Title: Import #81

#########
#. ##+$.#
#   $$#*#
#.# $ ###
#..#.   #
#$    $ #
#  $ ####
###  #
  ####
Title: Import #82

    #####
#####+* #
#   $$#*#
#.    ###
#..#**  #
#       #
# $ $####
###  #
  ####
Title: Import #83

 ########
##*##.@ #
#   $$#*#
#.# $ ###
#. #.$  #
#       #
# $  #.##
###  ###
  ####
Title: Import #84

#########
#  ##. *#
#    $#*#
#.# $ ###
#..#.$  #
#    $* #
## $ #@##
 ##  ###
  ####
Title: Import #85

    #####
#####.* #
# $   #*#
#.#. $###
#+ #.   #
# $$  $ #
# $  #.##
###  ###
  ####
Title: Import #86

#########
#  ## **#
#     #*#
#.#   ###
#. #.$  #
#  $ $$ #
#.$  #+##
###  ###
  ####
Title: Import #87

    #####
#####+ *#
#   $$#*#
#.# $ ###
#..#.   #
#    $  #
#  $ $.##
###   ##
  #####
Title: Import #88

#########
#  ## $.#
#    .###
#.# $ ###
#..#. $ #
#  $ $$@#
# $  #.##
###  ###
  ####
Title: Import #89

#######
#.*##*#
#     #
#.#  $###
#. #. $@#
# .  $$ #
# $$ #.##
###  ###
  ####
Title: Import #90

#########
#  ##.  #
#.  $ #*#
#.# $$###
#..#. $@#
#    $$ #
# $  #.##
###  ###
  ####
Title: Import #91

#######
#.*##.#
# $   #
# # $ ###
#. #.$$ #
#$*     #
#@$  #.##
###. ###
  ####
Title: Import #92

#########
#.  #. *#
#   $ ###
#.# $$###
#..#.$  #
#  $ $. #
# $  #@##
###  ###
  ####
Title: Import #93

#########
#  ##* *#
#     #*#
#.#   ###
#..# $  #
#  $.$* #
# $  #@##
###  ###
  ####
Title: Import #94

#########
#.*##+  #
#   $$#*#
#.# $ ###
# .#.   #
#$  $   #
#  $ #.##
###  ###
  ####
Title: Import #95

    #####
#####.  #
#   $ #*#
#.# $ ###
#..#. $@#
#    $$ #
# $  #.##
###  ###
  ####
Title: Import #96

########
#.*##.*#
#     ##
#.# $ ###
# .# *  #
#  $ $$ #
# $  #+##
###  ###
  ####
Title: Import #97

    #####
#####+$.#
#   $$#*#
#.# $ ###
#. #*   #
#  $  . #
#    ####
###  #
  ####
Title: Import #98

#######
#.*##+#
#   $$#
# # $ ###
#  #.   #
#** $   #
#   $####
###..#
  ####
Title: Import #99

#########
#*  #+$.#
#   $$###
#.# $ ###
# .#*   #
#     . #
# $  ####
###  #
  ####
Title: Import #100

#########
#.* #.  #
#     #*#
#.# $$###
#..# $  #
#  $ $+ #
# $  ####
###  #
  ####
Title: Import #101

    #####
#####.$.#
#   $ #*#
#.# $ ###
#..#. $@#
#    $$ #
# $  #.##
###  ###
  ####
Title: Import #103

    #####
#####.  #
#.  $ #*#
#.# $$###
#..#.$ @#
#    $  #
# $  ####
###  #
  ####
Title: Import #104

#########
# *##+$.#
#   $$#*#
# # $ ###
#..#.   #
#   $   #
#  $ #.##
###  ###
  ####
Title: Import #105

    #####
#####.* #
#   $ #*#
#.# . ###
#. # $  #
# .  $$ #
# $$ #+##
###  ###
  ####
Title: Import #106

    #####
#####.  #
#+  $ #*#
#$# $$###
#..#.   #
#  $$   #
#    ####
###. #
  ####
Title: Import #107

    #####
#####.$.#
#     #*#
#.# . ###
#. #$$  #
# .  $$ #
# $$ #+##
###  ###
  ####
Title: Import #108

#########
#.  #  *#
# $ $ ###
#.#   ###
#..#.$  #
#  $ $. #
#  $$####
###.@#
  ####
Title: Import #109

    #####
#####.* #
#.   $#*#
# # . ###
#. # $  #
# .  $$ #
# $$ #+##
###  ###
  ####
Title: Import #110

#######
#.  #.#
#.$ $ #
# # $ ###
#.*#+$  #
#   $$. #
# $  ####
###. #
  ####
Title: Import #111

    #####
#####. *#
#.  $ #*#
# # $$###
#..#.$  #
#    $ @#
# $  #.##
###  ###
  ####
Title: Import #112

#########
#  ##.$.#
# $   #*#
# # * ###
#. # $  #
# .   $ #
#.$$ #+##
###  ###
  ####
Title: Import #114

    #####
#####.$.#
# $   ###
#.#   ###
# .#.$  #
#.  $$* #
#.$  $@##
###   ##
  #####
Title: Import #115

    #####
#####.$.#
#     #*#
#.#   ###
#..#*$  #
#    $* #
# $$ #@##
###  ###
  ####
Title: Import #116

    #####
#####.$.#
#     ###
#.#   ###
# .# *$ #
#*$   . #
#. $$$###
###  @#
  #####
Title: Import #117

    #####
#####+**#
#   $$###
#.# $ ###
#  #*   #
#.   $. #
#.  $  ##
###   ##
  #####
Title: Import #118

 ########
##  #.  #
# $   #*#
#.# $ ###
#..#.$  #
#     * #
# $$ #@##
###  ###
  ####
Title: Import #119

### #####
#.###.  #
# $  $#*#
#.#   ###
#..#*$  #
#    $* #
#  $ #@##
###  ###
  ####
Title: Import #120

#########
#  ##. *#
#    $#*#
#.# $ ###
#..# $$ #
# $   . #
# @######
####
Title: Import #121

    #####
#####.$.#
#     ###
#.#   ###
#*.#$.  #
#   $ * #
#. $$$###
#### @#
   ####
Title: Import #122

    #####
#####  *#
#    .###
#.# $ ###
#..# .$@#
#$$ $$* #
#.    ###
####  #
   ####
Title: Import #123

    #####
#####.**#
#.   $###
# # $@###
#  #.$  #
#.  $$. #
#.   $ ##
###   ##
  #####
Title: Import #124

    #####
  ### **#
###   ###
#+#   ###
# *#*   #
#.$  $. #
#.$ $ ###
###   #
  #####
Title: Import #125

#########
#. ##@ *#
#   $$#*#
#.#   ###
#..# *  #
#  $$$. #
#     ###
####  #
   ####
Title: Import #126

    #####
#####  *#
#     ###
#.# $ ###
#.*# $  #
#.  .$* #
# $  #@##
###  ###
  ####
Title: Import #127

    #####
#####.$.#
#     ###
#.#   ###
#* #$.  #
# . $ * #
#. $$$###
####@ #
   ####
Title: Import #128

#########
# * #+ *#
#   $$###
#.# $ ###
#..#*   #
#    $. #
# $    ##
###   ##
  #####
Title: Import #129

    #####
#####+$.#
# $ *$#*#
#.#   ###
#..#*   #
#    $  #
# $   ###
####  #
   ####
Title: Import #130

    #####
#####.$.#
#     ###
#.#   ###
# *# *  #
# *  $. #
#.$$$#  #
### @####
  ####
Title: Import #131

#########
#  ##.$.#
# $   ###
# # * ###
#. # $  #
# .   $ #
#.$$ #+##
###  ###
  ####
Title: Import #132

#########
#   #. *#
#    $#*#
#.# $@###
#..#.$  #
#  $ $. #
#  $ ####
###  #
  ####
Title: Import #133

### #####
#.###+**#
#   $$###
#.# $ ###
# .# .  #
#$  $   #
#. $ #  #
###  ####
  ####
Title: Import #134

    #####
#####+$.#
#   $$###
#.# $ ###
# .# .  #
#.  $   #
#.$ $ ###
###   #
  #####
Title: Import #135

    #####
#####.$.#
# $   ###
#.#   ###
# .# *  #
#.$$ $. #
#.  $$###
####@ #
   ####
Title: Import #136

### #####
#@###.  #
# $   #*#
#.#   ###
#* # *  #
# .$ $. #
#. $$ ###
####  #
   ####
Title: Import #137

### #####
#@###.  #
#$$   #*#
#.# $ ###
#. #.*  #
#$. $ $ #
#.    ###
####  #
   ####
Title: Import #138

#########
#  ##*  #
#  $  #*#
#.#@$ ###
#..#.$  #
#  $$$..#
#    ####
###  #
  ####
Title: Import #139

#########
# * #.$.#
#     ###
#.#   ###
#..#*$  #
#    $* #
# $$ #@##
###  ###
  ####
Title: Import #140

    #####
#####+$.#
#   $$###
#. #$ ###
#..# $. #
#$$  $. #
#.    ###
####  #
   ####
Title: Import #141

    #####
#####+**#
#   $$###
#.# $ ###
#. #    #
# . $   #
#   $#.##
###  ###
  ####
Title: Import #142

    #####
#####.$.#
#     #*#
# #.. ###
#. # *  #
# .$ $  #
# $$$#  #
###  @###
  #####
Title: Import #143

    #####
#####.$.#
#     ###
#.#   ###
#* #$.  #
#.  $ * #
#. $$$###
####@ #
   ####
Title: Import #144

    ####
#####+*#
#   $$##
#.#   ###
# .#. $ #
#*$   . #
#. $ $###
###   #
  #####
Title: Import #145

    #####
#####.$.#
#     ###
#.#   ###
#..#.$$ #
#$$   . #
#. $$$###
###@  #
  #####
Title: Import #146

    #####
  ###.$.#
###   ###
#.#   ###
# .#.$  #
#* $ $. #
#. $$$###
### @ #
  #####
Title: Import #147

    #####
#####+**#
#   $$###
#.# $ ###
#  #*   #
#.   $. #
#.$   ###
###   #
  #####
Title: Import #148

    ###
#####+#
#   $$#
#.#   ###
# .#.   #
#.  $ * #
#.$ $$ ##
###   ##
  #####
Title: Import #149

#########
#.  #@ *#
# $ $$###
#.##  ###
# .#*   #
#  $ $. #
#  $ ####
###..#
  ####
Title: Import #150

    ###
#####+#
#   $$#
#.#   ###
# .#. $ #
#*$   . #
#. $ $###
###   #
  #####
Title: Import #152

#########
#   #* *#
#. $  ###
#.#   ###
#..#.$  #
#  $ $* #
# $  #@##
###  ###
  ####
Title: Import #153

    #####
##### **#
#     ###
#.#.  ###
# .#.$$@#
#  $  * #
#.$  $###
###   #
  #####
Title: Import #154

#########
#. ##.$.#
# $   ###
#.#   ###
#*.#.$$ #
#     . #
# $$$####
###@ #
  ####
Title: Import #155

    #####
#####.$.#
#     ###
#.#   ###
# .#.$$ #
#*$  .. #
#  $$$###
### @ #
  #####
Title: Import #156

    #####
#####+$.#
#   $$###
# # $ ###
# .#..  #
#   $ . #
#  $ ####
###  #
  ####
Title: Import #157

#######
#.  #@#
#.  $$#
#.#   ###
#.*#**  #
#.$     #
# $ $ ###
###   #
  #####
Title: Import #158

    #####
#####.* #
# $   #*#
#.# $ ###
#..# $  #
#   . * #
# $$ #@##
###  ###
  ####
Title: Import #159

#########
#   #@ *#
#.  $$###
#.# $ ###
#. #.$  #
# .$  . #
# $  #*##
###  ###
  ####
Title: Import #160

    #####
#####@ *#
#    $###
#.#*  ###
#..#*   #
#  $ $. #
#.$ $ ###
###   #
  #####
Title: Import #161

#########
#   #@**#
#.   $###
#.# $ ###
#..#.$  #
#   $ . #
## $ $ ##
 ##   ##
  #####
Title: Import #162

    ###
  ###.#
###   #
#+# $ ###
#$.#.$  #
# .$ $. #
#  $ #*##
###  ###
  ####
Title: Import #163

    #####
#####.$.#
# $   ###
#.#   ###
# .#.$  #
# . $$* #
#.$  $@##
###   ##
  #####
Title: Import #164

#########
#. ##.  #
# $  $#*#
#.#   ###
# .#$$  #
#.  .$* #
#  $ #@##
###  ###
  ####
Title: Import #166

### ###
#@###.#
#$$   #
#.#   ###
# *#$*  #
# .* $. #
# *  #  #
###  ####
  ####
Title: Import #167

###
#.#####
#     #
#.# $$###
#.*#*.  #
#* $ $  #
#@$  .###
###   #
  #####
Title: Import #168

    #####
#####+$.#
#   $$###
# # $ ###
#..#*   #
#    $. #
#.  $ ###
###   #
  #####
Title: Import #169

#########
#. ##. *#
#  #  #*#
#.##$ ###
#. # $  #
#$ $.$* #
#    #@##
###  ###
  ####
Title: Import #170

    #####
#####+$.#
#.  $$###
#.# $ ###
#..##.  #
#$$ $ $ #
#.    ###
####  #
   ####
Title: Import #171

#########
#   #* *#
#     #*#
#.## $###
#..#.$  #
#  $  . #
## $$####
 ## @#
  ####
Title: Import #172

### #####
#.###  *#
#     ###
#*# $$###
#+.#*   #
#$$  $. #
#.    ###
###   #
  #####
Title: Import #173

    ###
#####.#
#@$   #
#.#   ###
#  #.$$ #
#.$ $ . #
#.*  $###
###   #
  #####
Title: Import #174

    ###
#####+#
#   $$#
#.#   ###
#. #. $ #
#$*   . #
#. $ $###
###   #
  #####
Title: Import #175

#########
#  ##* *#
#     #*#
#.#   ###
# .#.$  #
#. $ $* #
# $  #@##
###  ###
  ####
Title: Import #176

#########
#.     .#
#. $ $###
# #   ###
#. #.#  #
# .$  * #
# $$$#*##
###@ ###
  ####
Title: Import #177

#########
#.  #  *#
#. $  ###
#@#   ###
#.*#*$  #
# $   . #
# $ $####
###. #
  ####
Title: Import #178

    #####
#####. *#
# $   ###
#.# $ #
#. #@$##
#. $$$.#
#. $  ##
#### .#
   ####
Title: Import #179

    #####
#####@ *#
#.   $###
#.#   ###
#..#$   #
#  $ $. #
#.$ $ ###
###   #
  #####
Title: Import #180

#####
#.  ###
#.  $@#
#*##$$###
#..#.*  #
#*      #
#  $$ ###
###   #
  #####
Title: Import #181

#########
#+  #. *#
#* $ $###
# #   ###
#. #*$  #
#  $  . #
#   $####
###. #
  ####
Title: Import #182

### ###
#.###*#
#     #
#.# @$###
#  #*   #
#. $ $. #
# * $ ###
###   #
  #####
Title: Import #183

 ########
##  #. *#
#.  $ ###
#.# $$###
#..# $@ #
#    $. #
# $  ####
###  #
  ####
Title: Import #184

### #####
#@###  *#
#$    #*#
#.# $$###
#..#*   #
# $  $. #
#.    ###
###   #
  #####
Title: Import #185

### ###
#.###.#
#   $ #
#.# $$###
#  #. $ #
# .  $*@#
# $  #.##
###  ###
  ####
Title: Import #186

    ###
#####+#
#   $$#
#.#   ###
#. #. $ #
#*$   . #
#. $ $###
###   #
  #####
Title: Import #187

    ###
#####.#
#@$   #
#.#   ###
# *#.*$ #
#.$ $ . #
#.$  $###
###   #
  #####
Title: Import #188

    ####
#####.*#
# $   ##
#.##$ ###
# .#+$$ #
#.  $ . #
#.$  $###
###   #
  #####
Title: Import #189

    #####
  ###.$.#
###   ###
#.#   ###
#. #* $ #
# $$  . #
#+$  $###
###   #
  #####
Title: Import #190

    #####
#####.$.#
# $   ###
#.#   ###
# .# *  #
#.  $$* #
#.$  $@##
###   ##
  #####
Title: Import #191

    ###
#####+#
#   $$#
# #.  ###
#. #. $ #
#*$   . #
#. $ $###
###   #
  #####
Title: Import #192

 ########
##  #. *#
#.  $ ###
#.# $$###
#.*#.$  #
#    $.@#
# $  ####
###  #
  ####
Title: Import #193

#######
#.  #@#
#.  $$#
#.#   ###
#.*#*$. #
#.$     #
# $ $ ###
###   #
  #####
Title: Import #194

    ###
#####+#
#   $$#
#.#   ###
#. #. $ #
#*$   . #
# .$ $###
###   #
  #####
Title: Import #195

    #####
#####@ *#
#    $#*#
#.#   ###
#..#.$  #
#$$  $  #
#     ###
###.  #
  #####
Title: Import #196

    ###
#####.#
#     #
#*# $ ###
#. #.$  #
#. $ $. #
# .$$####
###  @#
  #####
Title: Import #197

### #####
#.###  *#
#     ###
#*# $$###
#+.#* . #
#$$  $  #
#.    ###
###   #
  #####
Title: Import #198

    #####
#####  *#
#     #*#
#.#   ###
#*.#.   #
#   $ $ #
#..$$$###
####@ #
   ####
Title: Import #199

    #####
#####.$.#
#     ###
#.#   ###
# .# *$ #
#$*   . #
#. $$$###
###@  #
  #####
Title: Import #200

### #####
#.###  *#
#       #
#*# $$###
#+.#* . #
#$$  $  #
#.    ###
###   #
  #####
Title: Import #201

    #####
#####+$.#
#   $$#*#
# # $ ###
#..#*   #
#    $. #
#.  $ ###
###   #
  #####
Title: Import #202

### #####
#.###@$.#
#    $  #
#.# $$###
#. #* . #
# *     #
#. $$ ###
###   #
  #####
Title: Import #203

#########
#   #* *#
#.  $@###
# # $$###
# .#.$  #
#. *  . #
# $  ####
###  #
  ####
Title: Import #204

    #####
#####.$.#
#     ###
#.#   ###
# .# *$ #
#*$   . #
# .$$$###
###@  #
  #####
Title: Import #205

#########
#   #* *#
# .$  ###
#.#   ###
#..#.$  #
#  $ $* #
# $  #@##
###  ###
  ####
Title: Import #206

#########
#.#.#  *#
#     ###
#.# $$###
# *#.   #
#.      #
# $$$####
###@ #
  ####
Title: Import #207

    #####
#####+$.#
#   $$###
#.# $ ###
#..#$.  #
#    $  #
#     ###
####  #
   ####
Title: Import #208

    #####
#####.$.#
#     ###
#.#   ###
#..# $$ #
#$$ . . #
#. $$$###
### @ #
  #####
Title: Import #209

    #####
#####.$.#
#     ###
# #   ###
#..#.*$ #
#$$   . #
# .$$$###
###  @#
  #####
Title: Import #210

###
#.#####
#     #
#*# $$###
#+.#* . #
#$$  $  #
#.    ###
###   #
  #####
Title: Import #211

#########
#   #   #
#.  $.#*#
# # $ ###
# .#*   #
#. . $* #
# $$ #@##
###  ###
  ####
Title: Import #213

#########
#.  #. *#
#   $ ###
#.# *$###
# .#.$ @#
#  $ $. #
# $  ####
###  #
  ####
Title: Import #214

    ###
#####@#
#    $#
#.#   ###
#.*#*   #
# $   * #
# $ $#.##
###. ###
  ####
Title: Import #216

    #####
#####* *#
#     ###
#.##  ###
#..#$.$ #
# $ $ . #
#.  $$###
####@ #
   ####
Title: Import #217

    ###
#####.#
# $   #
#.# $ ###
#  #+$$ #
#. $$   #
#..  $###
###.  #
  #####
Title: Import #219

###
#.#####
# $   #
# #   ###
#.+#. . #
#$$ $$$ #
#. $   ##
###.  ##
  #####
Title: Import #220

    #####
#####@$.#
#.   $  #
#.#  $###
#. #* . #
#$*     #
#. $$ ###
###   #
  #####
Title: Import #221

#########
#   #  *#
# . $ ###
#.# $ ###
#*.#.   #
#*$$  . #
#   $####
####@#
   ###
Title: Import #222

    ###
#####+#
#   $$#
#.#   ###
#..# .$ #
#$$   . #
#. $ $###
###   #
  #####
Title: Import #223

#########
#   #* *#
#.  $@###
# # $$###
# .#.$  #
#..*    #
# $  ####
###  #
  ####
Title: Import #224

#########
#   #* *#
#.    ###
# #   ###
# .# $  #
#*$. $* #
#    #@##
###  ###
  ####
Title: Import #225

#########
#   #. *#
#    $#*#
# # $@###
# .#.$  #
#. *$$. #
#    ####
######
Title: Import #226

    #####
#####.$.#
# $   ###
#.#   ###
#..# *  #
#   $$* #
#.$  $@##
###   ##
  #####
Title: Import #227

#########
#.$ #.$.#
##    ###
#.#   ###
# +#.$  #
#  $ $. #
# $  $ ##
###   ##
  #####
Title: Import #228

    ###
#####.#
#  @$.#
#*# $ ###
#. #.$  #
#   $$. #
# .  $###
###   #
  #####
Title: Import #229

    ###
#####+#
#   $$#
#.# $ ###
#. #*   #
# .  $  #
#.$   ###
###   #
  #####
Title: Import #230

    #####
#####.$.#
#     ###
# #   ###
#..#.*$ #
#$$   . #
#. $$$###
###@  #
  #####
Title: Import #231

    #####
#####+**#
#   $$###
# # $ ###
#..#*   #
#    $. #
# .$  ###
###   #
